Stock_Search_List
STPK
STEM
PLTR
TSLA
X
HOOD
ADGI
OCGN
GME
MSFT
FB
PROG
AMC
SU
SAND
NVDA
CRSR
SPCE
UWMC
BBBY
PLUG
ENPH
QS
NGA
MP
DIS
DKNG
IRDM
IMVT
BWMX
AHCO
SBE
RPAY
LPRO
ZOM
ZM
CCIV
DQ
JKS
RUN
CSIQ
SEDG
MRNA
NVAX
MRK
AMD
TWTR
FSLR
RIDE
WKHS
NKLA
BLNK
XPEV
LI
F
ABNB
NIO
SQ
COIN
DASH
SNOW
SPY
